vtkOriginalPointIds,Points:0,Points:1,Points:2
1,10.2054,-207.151,-1418.5
2,76.9959,-182.712,-1404.95
3,76.7288,-185.986,-1402.4
4,57.5851,-178.215,-1386.52
5,45.827,-149.47,-1464.03
6,111.196,-165.886,-1376.48
7,124.081,-212.886,-1319.67
8,54.375,-68.909,-1318.29
9,103.759,-194.911,-1363.25
10,77.2613,-125.482,-1357.39
11,65.8423,-132.668,-1334.14
12,73.9619,-121.966,-1378.33
13,103.331,-135.757,-1395.23
14,88.8929,-144.731,-1420.82
15,106.162,-176.585,-1377.85
16,67.1759,-99.3878,-1348.99
17,77.1,-126.31,-1364.4
18,71.04,-119.56,-1385.7
